ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC

Agency Name,State Name [District] Latest available year,Total Students All Grades (Excludes AE) [District] 2024-25,Agency ID - NCES Assigned [District] Latest available year,Locale [District] 2024-25
GREENWOOD CHARTER SCHOOL,UTAH,354,4900177,21-Suburb: Large
GREENWOOD COMMUNITY SCH CORP,Indiana,4023,1804110,13-City: Small
GREENWOOD ISD,Texas,3373,4821750,42-Rural: Distant
GREENWOOD LAKE UNION FREE SCHOOL DISTRICT,New York,430,3612960,41-Rural: Fringe
GREENWOOD SCHOOL DISTRICT,Wisconsin,339,5505970,43-Rural: Remote
GREENWOOD SCHOOL DISTRICT,Arkansas,3930,0506990,31-Town: Fringe
GREENWOOD SD,Pennsylvania,711,4211190,42-Rural: Distant
GREENWOOD-LEFLORE CONSOLIDATED SCHOOL DISTRICT,MISSISSIPPI,3718,2800198,33-Town: Remote
GREGORY SCHOOL DISTRICT 26-4,South Dakota,442,4629880,43-Rural: Remote
GREGORY-PORTLAND ISD,Texas,5024,4821780,21-Suburb: Large
GRENADA ELEMENTARY,California,210,0616110,42-Rural: Distant
GRENADA SCHOOL DISTRICT,Mississippi,3863,2801680,41-Rural: Fringe
GRENORA 99,North Dakota,166,3808460,43-Rural: Remote
GRESHAM SCHOOL DISTRICT,Wisconsin,291,5500056,42-Rural: Distant
GRESHAM-BARLOW SD 10J,Oregon,11452,4106000,21-Suburb: Large
GRETNA PUBLIC SCHOOLS,Nebraska,7013,3171220,21-Suburb: Large
GREYCLIFF ELEM,Montana,4,3013140,43-Rural: Remote
GRIDLEY UNIFIED,California,2002,0600051,32-Town: Distant
GRIFFIN ACADEMY HIGH DISTRICT,CALIFORNIA,186,0602530,12-City: Mid-size
GRIFFIN FOUNDATION INC. THE (79500),Arizona,93,0400343,11-City: Large
GRIFFIN RESA,Georgia,†,1300012,31-Town: Fringe
GRIFFIN SCHOOL DISTRICT,Washington,585,5303330,22-Suburb: Mid-size
GRIFFIN-SPALDING COUNTY,Georgia,9350,1302520,31-Town: Fringe
GRIFFITH PUBLIC SCHOOLS,Indiana,2015,1804170,21-Suburb: Large
GRIGGS COUNTY CENTRAL 18,North Dakota,289,3804560,43-Rural: Remote
GRIGGSVILLE-PERRY CUSD 4,Illinois,329,1717790,43-Rural: Remote
GRINNELL PUBLIC SCHOOLS,Kansas,78,2006780,43-Rural: Remote
GRINNELL-NEWBURG COMM SCHOOL DISTRICT,Iowa,1566,1913200,33-Town: Remote
GRISWOLD COMM SCHOOL DISTRICT,Iowa,420,1913230,43-Rural: Remote
GRISWOLD SCHOOL DISTRICT,Connecticut,1823,0901740,31-Town: Fringe
GROESBECK ISD,Texas,1495,4821810,43-Rural: Remote
GROOM ISD,Texas,130,4821840,43-Rural: Remote
GROSSE ILE TOWNSHIP SCHOOLS,Michigan,1493,2617220,21-Suburb: Large
GROSSE POINTE PUBLIC SCHOOLS,Michigan,6419,2625740,21-Suburb: Large
GROSSMONT UNION HIGH,California,16476,0616230,21-Suburb: Large
GROTON AREA SCHOOL DISTRICT 06-6,South Dakota,578,4600045,43-Rural: Remote
GROTON CENTRAL SCHOOL DISTRICT,New York,801,3613020,42-Rural: Distant
GROTON SCHOOL DISTRICT,Connecticut,4009,0901770,41-Rural: Fringe
GROTON-DUNSTABLE,Massachusetts,2300,2505500,41-Rural: Fringe
GROVE,Oklahoma,2425,4013530,32-Town: Distant
GROVE,Oklahoma,539,4013500,32-Town: Distant
GROVE CITY AREA SD,Pennsylvania,1867,4211220,32-Town: Distant
GROVE DISTRICT,CALIFORNIA,262,0602201,13-City: Small
GROVEPORT COMMUNITY SCHOOL,Ohio,612,3900640,21-Suburb: Large
GROVEPORT MADISON LOCAL,Ohio,6295,3904697,21-Suburb: Large
GROVETON ISD,Texas,754,4821900,43-Rural: Remote
GROW ACADEMY ARVIN DISTRICT,CALIFORNIA,87,0602454,31-Town: Fringe
GROW ACADEMY SHAFTER DISTRICT,CALIFORNIA,80,0602091,31-Town: Fringe
GROW PUBLIC SCHOOLS DISTRICT,CALIFORNIA,1446,0691156,41-Rural: Fringe
GROWING UP GREEN CHARTER SCHOOL,New York,692,3600987,11-City: Large
GROWING UP GREEN CHARTER SCHOOL II,NEW YORK,810,3601152,11-City: Large
GROWTH PUBLIC DISTRICT,CALIFORNIA,300,0602183,21-Suburb: Large
GRUNDY CENTER COMM SCHOOL DISTRICT,Iowa,789,1913290,42-Rural: Distant
GRUNDY CO. R-V,Missouri,122,2912690,42-Rural: Distant
GRUNDY COUNTY,Tennessee,1711,4701530,42-Rural: Distant
GRUNDY COUNTY SPEC EDUC COOP,Illinois,†,1701393,31-Town: Fringe
GRUNDY/KENDALL ROE,Illinois,0,1700184,21-Suburb: Large
GRUVER ISD,Texas,409,4821930,43-Rural: Remote
GRYGLA PUBLIC SCHOOL DISTRICT,Minnesota,135,2718920,43-Rural: Remote
GST SPECIAL ED UNIT,North Dakota,†,3880420,43-Rural: Remote
GUADALUPE CENTERS SCHOOLS,Missouri,1614,2900029,11-City: Large
GUADALUPE SCHOOL,Utah,390,4900072,12-City: Mid-size
GUADALUPE UNION ELEMENTARY,California,1323,0616260,31-Town: Fringe
GUAJOME LEARNING CENTERS DISTRICT,CALIFORNIA,61,0602247,21-Suburb: Large
GUAJOME PARK ACADEMY CHARTER DISTRICT,CALIFORNIA,1355,0601705,21-Suburb: Large
GUERNEVILLE ELEMENTARY,California,185,0616320,42-Rural: Distant
GUILDERLAND CENTRAL SCHOOL DISTRICT,New York,4955,3613080,21-Suburb: Large
GUILFORD COUNTY SCHOOLS,North Carolina,67620,3701920,11-City: Large
GUILFORD PREPARATORY ACADEMY,North Carolina,672,3700121,41-Rural: Fringe
GUILFORD SCHOOL DISTRICT,Connecticut,3080,0901800,21-Suburb: Large
GULF,Florida,1901,1200690,42-Rural: Distant
GULF SHORES CITY,ALABAMA,2748,0100202,41-Rural: Fringe
GULFPORT SCHOOL DISTRICT,Mississippi,5927,2801710,13-City: Small
GULL LAKE COMMUNITY SCHOOLS,Michigan,3412,2617250,41-Rural: Fringe
GUNNISON RE-1J AU,Colorado,†,0800240,33-Town: Remote
GUNNISON WATERSHED SCHOOL DISTRICT RE1J,Colorado,2095,0804470,33-Town: Remote
GUNTER ISD,Texas,1156,4821960,42-Rural: Distant
GUNTERSVILLE CITY,Alabama,1810,0101690,32-Town: Distant
GURDON SCHOOL DISTRICT,Arkansas,617,0507110,43-Rural: Remote
GURNEE SD 56,Illinois,1836,1717800,21-Suburb: Large
GUSTINE ISD,Texas,136,4821990,43-Rural: Remote
GUSTINE UNIFIED,California,1627,0616323,41-Rural: Fringe
GUTHRIE,Oklahoma,3483,4013560,31-Town: Fringe
GUTHRIE CENTER COMM SCHOOL DISTRICT,Iowa,451,1913320,43-Rural: Remote
GUTHRIE CSD,Texas,93,4822020,43-Rural: Remote
GUTTENBERG SCHOOL DISTRICT,New Jersey,983,3406240,21-Suburb: Large
GUY FENTER EDUCATION SERVICE COOPERATIVE,Arkansas,†,0500014,42-Rural: Distant
GUY PERKINS SCHOOL DISTRICT,Arkansas,402,0507140,42-Rural: Distant
GUYMON,Oklahoma,3009,4013590,33-Town: Remote
GWINN AREA COMMUNITY SCHOOLS,Michigan,907,2614690,43-Rural: Remote
GWINNETT COUNTY,Georgia,182518,1302550,21-Suburb: Large
GYPSY,Oklahoma,41,4013600,42-Rural: Distant
H-L-V COMM SCHOOL DISTRICT,Iowa,301,1913380,43-Rural: Remote
HA:SAN EDUCATIONAL SERVICES (6369),Arizona,55,0400147,11-City: Large
HAAKON SCHOOL DISTRICT 27-1,South Dakota,326,4630490,43-Rural: Remote
HAAS HALL ACADEMY,Arkansas,1427,0500078,13-City: Small
HABERSHAM COUNTY,Georgia,7257,1302580,41-Rural: Fringe
HACIENDA LA PUENTE UNIFIED,California,15480,0616325,21-Suburb: Large
HACKBERRY SCHOOL DISTRICT (4371),Arizona,40,0403660,43-Rural: Remote
HACKENSACK SCHOOL DISTRICT,New Jersey,5513,3406270,21-Suburb: Large
HACKETT SCHOOL DISTRICT,Arkansas,824,0507170,42-Rural: Distant
HACKETTSTOWN PUBLIC SCHOOL DISTRICT,New Jersey,2014,3406300,21-Suburb: Large
HADDON HEIGHTS SCHOOL DISTRICT,New Jersey,1556,3406330,21-Suburb: Large
HADDON TOWNSHIP SCHOOL DISTRICT,New Jersey,2100,3406360,21-Suburb: Large
HADDONFIELD SCHOOL DISTRICT,New Jersey,2753,3406390,21-Suburb: Large
HADLEY,Massachusetts,518,2505580,23-Suburb: Small
HADLEY-LUZERNE CENTRAL SCHOOL DISTRICT,New York,635,3613110,41-Rural: Fringe
HAGAR TOWNSHIP S/D #6,Michigan,72,2617340,41-Rural: Fringe
HAGERMAN,New Mexico,408,3501200,43-Rural: Remote
HAGERMAN JOINT DISTRICT,Idaho,374,1601380,42-Rural: Distant
HAILEYVILLE,Oklahoma,288,4013620,42-Rural: Distant
HAINES BOROUGH SCHOOL DISTRICT,Alaska,255,0200270,43-Rural: Remote
HAINESPORT TOWNSHIP SCHOOL DISTRICT,New Jersey,516,3406420,21-Suburb: Large
HALDANE CENTRAL SCHOOL DISTRICT,New York,782,3613230,41-Rural: Fringe
HALE AREA SCHOOLS,Michigan,347,2617370,43-Rural: Remote
HALE CENTER ISD,Texas,561,4822050,42-Rural: Distant
HALE COUNTY,Alabama,2193,0101710,41-Rural: Fringe
HALE R-I,Missouri,89,2913500,43-Rural: Remote
HALE'S LOCATION (CARROLL COUNTY) SCHOOL DISTRICT,New Hampshire,†,3303279,41-Rural: Fringe
HALEDON PUBLIC SCHOOL DISTRICT,New Jersey,996,3406450,21-Suburb: Large
HALEYVILLE CITY,Alabama,1597,0101720,43-Rural: Remote
HALF HOLLOW HILLS CENTRAL SCHOOL DISTRICT,New York,7302,3613290,21-Suburb: Large
HALFWAY R-III,Missouri,247,2913530,42-Rural: Distant
HALIFAX,Massachusetts,531,2505610,41-Rural: Fringe
HALIFAX AREA SD,Pennsylvania,858,4211310,42-Rural: Distant
HALIFAX COUNTY PUBLIC SCHOOLS,Virginia,4496,5101770,42-Rural: Distant
HALIFAX COUNTY SCHOOLS,North Carolina,2150,3701950,42-Rural: Distant
HALIFAX SCHOOL DISTRICT,Vermont,85,5004500,42-Rural: Distant
HALIWA-SAPONI TRIBAL SCHOOL,North Carolina,140,3700115,42-Rural: Distant
HALL COUNTY,Georgia,27257,1302610,22-Suburb: Mid-size
HALL ELEM,Montana,27,3013200,43-Rural: Remote
HALL HSD 502,Illinois,388,1718030,32-Town: Distant
HALLETTSVILLE ISD,Texas,1176,4822120,43-Rural: Remote
HALLSBURG ISD,Texas,131,4822140,42-Rural: Distant
HALLSVILLE ISD,Texas,24602,4822170,22-Suburb: Mid-size
HALLSVILLE R-IV,Missouri,1552,2913560,42-Rural: Distant
HALSTEAD,Kansas,786,2006840,42-Rural: Distant
HAMBLEN COUNTY,Tennessee,10300,4700001,13-City: Small
HAMBURG AREA SD,Pennsylvania,2072,4211340,21-Suburb: Large
HAMBURG CENTRAL SCHOOL DISTRICT,New York,3361,3613350,21-Suburb: Large
HAMBURG COMM SCHOOL DISTRICT,Iowa,191,1913440,43-Rural: Remote
HAMBURG SCHOOL DISTRICT,New Jersey,246,3406480,32-Town: Distant
HAMBURG SCHOOL DISTRICT,Arkansas,1697,0500042,42-Rural: Distant
HAMDEN SCHOOL DISTRICT,Connecticut,5464,0901860,21-Suburb: Large
HAMILTON,Kansas,90,2006870,43-Rural: Remote
HAMILTON,Florida,1590,1200720,43-Rural: Remote
HAMILTON CCSD 328,Illinois,577,1718060,33-Town: Remote
HAMILTON CENTRAL SCHOOL DISTRICT,New York,553,3613380,42-Rural: Distant
HAMILTON CITY,Ohio,9014,3904410,21-Suburb: Large
HAMILTON CNTY MATH & SCIENCE,Ohio,622,3900121,21-Suburb: Large
HAMILTON CO CUSD 10,Illinois,1091,1710790,43-Rural: Remote
HAMILTON COMMUNITY SCHOOLS,Michigan,2528,2617400,41-Rural: Fringe
HAMILTON COMMUNITY SCHOOLS,Indiana,375,1804230,42-Rural: Distant
HAMILTON COUNTY,Tennessee,45981,4701590,12-City: Mid-size
HAMILTON COUNTY ESC,Ohio,0,3904732,21-Suburb: Large
HAMILTON HEIGHTS SCHOOL CORP,Indiana,2341,1804260,41-Rural: Fringe
HAMILTON ISD,Texas,823,4822230,43-Rural: Remote
HAMILTON K-12 SCHOOLS,Montana,1631,3013260,33-Town: Remote
HAMILTON LOCAL,Ohio,3268,3904695,21-Suburb: Large
HAMILTON R-II,Missouri,606,2913590,43-Rural: Remote
HAMILTON SCHOOL DISTRICT,Wisconsin,5131,5506030,21-Suburb: Large
HAMILTON SOUTHEASTERN SCHOOLS,Indiana,21062,1810650,21-Suburb: Large
HAMILTON TOWNSHIP PUBLIC SCHOOL DISTRICT,New Jersey,12476,3406540,21-Suburb: Large
HAMILTON TOWNSHIP SCHOOL DISTRICT,New Jersey,2892,3406510,21-Suburb: Large
HAMILTON UNIFIED,California,708,0601339,42-Rural: Distant
HAMILTON-FULTON-MONTGOMERY BOCES,New York,0,3680400,41-Rural: Fringe
HAMILTON-WENHAM,Massachusetts,1669,2505670,41-Rural: Fringe
HAMLIN COLLEGIATE ISD,Texas,402,4822260,43-Rural: Remote
HAMLIN SCHOOL DISTRICT 28-3,South Dakota,896,4630800,43-Rural: Remote
HAMMON,Oklahoma,257,4013650,43-Rural: Remote
HAMMOND ACADEMY OF SCIENCE & TECH,Indiana,578,1800082,21-Suburb: Large
HAMMOND CENTRAL SCHOOL DISTRICT,New York,237,3613440,42-Rural: Distant
HAMMONDSPORT CENTRAL SCHOOL DISTRICT,New York,402,3613470,32-Town: Distant
HAMMONTON SCHOOL DISTRICT,New Jersey,3357,3406570,31-Town: Fringe
HAMPDEN CHARTER SCHOOL OF SCIENCE,Massachusetts,938,2500522,21-Suburb: Large
HAMPDEN-WILBRAHAM,Massachusetts,2881,2505730,21-Suburb: Large
HAMPSHIRE,Massachusetts,718,2505740,41-Rural: Fringe
HAMPSHIRE COUNTY SCHOOLS,West Virginia,2650,5400420,43-Rural: Remote
HAMPSTEAD SCHOOL DISTRICT,New Hampshire,830,3303480,21-Suburb: Large
HAMPTON,SOUTH CAROLINA,2272,4503912,43-Rural: Remote
HAMPTON BAYS UNION FREE SCHOOL DISTRICT,New York,2036,3613530,21-Suburb: Large
HAMPTON BOROUGH SCHOOL DISTRICT,New Jersey,115,3406600,42-Rural: Distant
HAMPTON CITY PUBLIC SCHOOLS,Virginia,19472,5101800,21-Suburb: Large
HAMPTON FALLS SCHOOL DISTRICT,New Hampshire,192,3303540,21-Suburb: Large
HAMPTON PUBLIC SCHOOL,Nebraska,183,3171370,42-Rural: Distant
HAMPTON SCHOOL DISTRICT,New Hampshire,899,3303510,23-Suburb: Small
HAMPTON SCHOOL DISTRICT,Connecticut,74,0901890,42-Rural: Distant
HAMPTON SCHOOL DISTRICT,Arkansas,500,0507230,43-Rural: Remote
HAMPTON SD 29,Illinois,225,1718090,21-Suburb: Large
HAMPTON TOWNSHIP SCHOOL DISTRICT,New Jersey,322,3406630,41-Rural: Fringe
HAMPTON TOWNSHIP SD,Pennsylvania,2589,4211400,21-Suburb: Large
HAMPTON-DUMONT COMM SCHOOL DISTRICT,Iowa,1268,1913470,43-Rural: Remote
HAMSHIRE-FANNETT ISD,Texas,2006,4822320,41-Rural: Fringe
HAMTRAMCK ACADEMY,Michigan,549,2600287,21-Suburb: Large
HAMTRAMCK SCHOOL DISTRICT OF THE CITY OF,Michigan,2877,2617520,21-Suburb: Large
HANCCK/FULTN/SCHUYLR/MCDONOGH ROE,Illinois,0,1700186,33-Town: Remote
HANCOCK,Massachusetts,48,2505760,41-Rural: Fringe
HANCOCK CENTRAL SCHOOL DISTRICT,New York,299,3613560,43-Rural: Remote
HANCOCK COUNTY,Kentucky,1449,2102460,41-Rural: Fringe
HANCOCK COUNTY,Georgia,652,1302640,43-Rural: Remote
HANCOCK COUNTY,Tennessee,903,4701620,42-Rural: Distant
HANCOCK COUNTY ESC,Ohio,0,3904740,41-Rural: Fringe
HANCOCK COUNTY SCHOOLS,West Virginia,3342,5400450,13-City: Small
HANCOCK PLACE,Missouri,1282,2913620,21-Suburb: Large
HANCOCK PUBLIC SCHOOL DISTRICT,Minnesota,437,2713380,42-Rural: Distant
HANCOCK PUBLIC SCHOOLS,Michigan,549,2617550,33-Town: Remote
HANCOCK PUBLIC SCHOOLS,Maine,189,2306260,43-Rural: Remote
HANCOCK SCHOOL DISTRICT,Mississippi,3934,2801740,41-Rural: Fringe
HANFORD ELEMENTARY,California,5463,0616470,13-City: Small
HANFORD JOINT UNION HIGH,California,4238,0616500,13-City: Small
HANKINSON 8,North Dakota,244,3808710,43-Rural: Remote
HANLEY INTERNATIONAL ACADEMY,Michigan,667,2600305,21-Suburb: Large
HANNA,Oklahoma,56,4013680,43-Rural: Remote
HANNIBAL 60,Missouri,3366,2913650,33-Town: Remote
HANNIBAL CENTRAL SCHOOL DISTRICT,New York,1254,3613590,42-Rural: Distant
HANOVER,Massachusetts,2550,2505790,21-Suburb: Large
HANOVER AREA SD,Pennsylvania,2233,4211420,21-Suburb: Large
HANOVER COMMUNITY SCHOOL CORP,Indiana,2831,1804350,21-Suburb: Large
HANOVER COUNTY PUBLIC SCHOOLS,Virginia,16768,5101830,21-Suburb: Large
HANOVER PARK REGIONAL HIGH SCHOOL DISTRICT,New Jersey,1317,3406660,21-Suburb: Large
HANOVER PUBLIC SD,Pennsylvania,1953,4211450,13-City: Small
HANOVER SCHOOL DISTRICT,New Hampshire,463,3303600,41-Rural: Fringe
HANOVER SCHOOL DISTRICT NO. 28 IN THE COUNTY OF EL PASO AN,Colorado,264,0804500,42-Rural: Distant
HANOVER TOWNSHIP SCHOOL DISTRICT,New Jersey,1240,3406690,21-Suburb: Large
HANOVER-HORTON SCHOOL DISTRICT,Michigan,1001,2617640,42-Rural: Distant
HANSEN DISTRICT,Idaho,306,1601410,41-Rural: Fringe
HANSON SCHOOL DISTRICT 30-1,South Dakota,384,4602640,43-Rural: Remote
HAPPY CAMP UNION ELEMENTARY,California,79,0616530,43-Rural: Remote
HAPPY ISD,Texas,253,4822350,42-Rural: Distant
HAPPY VALLEY EAST (90906),Arizona,396,0400864,21-Suburb: Large
HAPPY VALLEY ELEMENTARY,California,107,0616560,41-Rural: Fringe
HAPPY VALLEY SCHOOL INC. (79081),Arizona,586,0400406,21-Suburb: Large
HAPPY VALLEY UNION ELEMENTARY,California,471,0616570,41-Rural: Fringe
HARALSON COUNTY,Georgia,3525,1302670,42-Rural: Distant
HARAMBEE INSTITUTE OF SCIENCE AND TECHNOLOGY CS,Pennsylvania,565,4200014,11-City: Large
HARBOR BEACH COMMUNITY SCHOOLS,Michigan,483,2600007,43-Rural: Remote
HARBOR CITY INTERNATIONAL CHARTER,Minnesota,194,2700209,13-City: Small
HARBOR CREEK SD,Pennsylvania,2090,4211490,41-Rural: Fringe
HARBOR SCIENCE AND ARTS CHARTER SCHOOL,New York,244,3600047,11-City: Large
HARBOR SPRINGS CHARTER DISTRICT,CALIFORNIA,299,0601516,12-City: Mid-size
HARBOR SPRINGS SCHOOL DISTRICT,Michigan,754,2617700,33-Town: Remote
HARBORFIELDS CENTRAL SCHOOL DISTRICT,New York,2804,3613620,21-Suburb: Large
HARDEE,Florida,4547,1200750,41-Rural: Fringe
HARDEMAN COUNTY SCHOOLS,Tennessee,3157,4701650,32-Town: Distant
HARDEMAN R-X,Missouri,64,2927330,42-Rural: Distant
HARDESTY,Oklahoma,43,4013740,43-Rural: Remote
HARDIN COMMUNITY SCHOOL,Ohio,29,3901429,32-Town: Distant
HARDIN COUNTY,Kentucky,14583,2102490,23-Suburb: Small
HARDIN COUNTY,Tennessee,3294,4701680,33-Town: Remote
HARDIN COUNTY CUSD 1,Illinois,498,1718200,43-Rural: Remote
HARDIN ELEM,Montana,1221,3013310,43-Rural: Remote
HARDIN H S,Montana,515,3013340,43-Rural: Remote
HARDIN ISD,Texas,1257,4822380,42-Rural: Distant
HARDIN NORTHERN LOCAL,Ohio,384,3904749,42-Rural: Distant
HARDIN-CENTRAL C-2,Missouri,205,2913680,42-Rural: Distant
HARDIN-HOUSTON LOCAL,Ohio,720,3904979,42-Rural: Distant
HARDIN-JEFFERSON ISD,Texas,2762,4822410,42-Rural: Distant
HARDING COUNTY SCHOOL DISTRICT 31-1,South Dakota,227,4609300,43-Rural: Remote
HARDING FINE ARTS CHARTER ACADEMY,Oklahoma,492,4000773,11-City: Large
HARDING INDEPENDENCE (CHARTER),OKLAHOMA,1055,4000809,41-Rural: Fringe
HARDING TOWNSHIP SCHOOL DISTRICT,New Jersey,295,3406720,41-Rural: Fringe
HARDY BROWN COLLEGE PREP DISTRICT,CALIFORNIA,316,0602423,12-City: Mid-size
HARDY COUNTY SCHOOLS,West Virginia,2184,5400480,43-Rural: Remote
HARDYSTON TOWNSHIP SCHOOL DISTRICT,New Jersey,619,3406780,41-Rural: Fringe
HARFORD COUNTY PUBLIC SCHOOLS,Maryland,37771,2400390,22-Suburb: Mid-size
HARLAN COMM SCHOOL DISTRICT,Iowa,1504,1913500,32-Town: Distant
HARLAN COUNTY,Kentucky,3327,2102540,41-Rural: Fringe
HARLAN INDEPENDENT,Kentucky,900,2102520,32-Town: Distant
HARLANDALE ISD,Texas,11546,4822470,11-City: Large
HARLEM CHILDREN'S ZONE PROMISE ACADEMY CHARTER SCHOOL,New York,1176,3600108,11-City: Large
HARLEM CHILDREN'S ZONE PROMISE ACADEMY II CHARTER SCHOOL,New York,1053,3600140,11-City: Large
HARLEM ELEM,Montana,454,3013395,43-Rural: Remote
HARLEM H S,Montana,175,3013400,43-Rural: Remote
HARLEM LINK CHARTER SCHOOL,New York,309,3600138,11-City: Large
HARLEM PREP CHARTER SCHOOL,New York,647,3600068,11-City: Large
HARLEM UD 122,Illinois,6108,1718240,21-Suburb: Large
HARLEM VILLAGE ACADEMY EAST CHARTER SCHOOL,New York,349,3600141,11-City: Large
HARLEM VILLAGE ACADEMY NORTH CHARTER SCHOOL,New York,394,3600080,11-City: Large
HARLEM VILLAGE ACADEMY WEST CHARTER SCHOOL,NEW YORK,446,3601191,11-City: Large
HARLETON ISD,Texas,705,4822500,42-Rural: Distant
HARLINGEN CISD,Texas,16471,4822530,13-City: Small
HARLOWTON K-12,Montana,298,3013470,43-Rural: Remote
HARMONY,Oklahoma,246,4013830,43-Rural: Remote
HARMONY AREA SD,Pennsylvania,234,4211520,42-Rural: Distant
HARMONY DC PCS,DISTRICT OF COLUMBIA,183,1100096,11-City: Large
HARMONY EMGE SD 175,Illinois,735,1714220,21-Suburb: Large
HARMONY GROVE SCHOOL DISTRICT (OUACHITA),Arkansas,827,0507290,42-Rural: Distant
HARMONY GROVE SCHOOL DISTRICT (SALINE),Arkansas,1269,0507320,41-Rural: Fringe
HARMONY ISD,Texas,895,4822560,42-Rural: Distant
HARMONY PUBLIC SCHOOLS,Maine,57,2306330,43-Rural: Remote
HARMONY PUBLIC SCHOOLS - CENTRAL TEXAS,Texas,4647,4800241,11-City: Large
HARMONY PUBLIC SCHOOLS - HOUSTON NORTH,Texas,7571,4800274,11-City: Large
HARMONY PUBLIC SCHOOLS - HOUSTON SOUTH,Texas,3663,4800210,11-City: Large
HARMONY PUBLIC SCHOOLS - HOUSTON WEST,Texas,6541,4801405,12-City: Mid-size
HARMONY PUBLIC SCHOOLS - NORTH TEXAS,Texas,11042,4800292,11-City: Large
HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,Texas,4807,4800266,11-City: Large
HARMONY PUBLIC SCHOOLS - WEST TEXAS,Texas,5687,4800272,11-City: Large
HARMONY TOWNSHIP SCHOOL DISTRICT,New Jersey,189,3406810,41-Rural: Fringe
HARMONY UNION ELEMENTARY,California,234,0616620,42-Rural: Distant
HARNETT COUNTY SCHOOLS,North Carolina,20095,3702010,41-Rural: Fringe
HARNEY COUNTY SD 3,Oregon,683,4102490,33-Town: Remote
HARNEY COUNTY SD 4,Oregon,1105,4103600,41-Rural: Fringe
HARNEY COUNTY UNION HIGH SD 1J,Oregon,1315,4103630,43-Rural: Remote
HARNEY ESD REGION XVII,Oregon,0,4100028,41-Rural: Fringe
HARPER CREEK COMMUNITY SCHOOLS,Michigan,2778,2617730,23-Suburb: Small
HARPER ISD,Texas,591,4822590,43-Rural: Remote
HARPER SD 66,Oregon,258,4106120,43-Rural: Remote
HARPER WOODS THE SCHOOL DISTRICT OF THE CITY OF,Michigan,3041,2617760,21-Suburb: Large
HARPURSVILLE CENTRAL SCHOOL DISTRICT,New York,614,3613710,42-Rural: Distant
HARRAH,Oklahoma,2077,4013890,41-Rural: Fringe
HARRIET TUBMAN CHARTER SCHOOL,New York,494,3600048,11-City: Large
HARRIET TUBMAN CHARTER SCHOOL,LOUISIANA,901,2200220,11-City: Large
HARRIET TUBMAN VILLAGE CHARTER DISTRICT,CALIFORNIA,446,0601817,11-City: Large
HARRINGTON PARK SCHOOL DISTRICT,New Jersey,653,3406840,21-Suburb: Large
HARRINGTON SCHOOL DISTRICT,Washington,114,5303360,43-Rural: Remote
HARRIS COUNTY,Georgia,5663,1302700,42-Rural: Distant
HARRIS COUNTY DEPT OF ED,Texas,†,4800261,21-Suburb: Large
HARRIS-LAKE PARK COMM SCHOOL DISTRICT,Iowa,341,1916140,42-Rural: Distant
HARRISBURG CITY SD,Pennsylvania,6578,4211580,13-City: Small
HARRISBURG CUSD 3,Illinois,1781,1718270,33-Town: Remote
HARRISBURG R-VIII,Missouri,605,2913710,42-Rural: Distant
HARRISBURG SCHOOL DISTRICT,Arkansas,1070,0507350,42-Rural: Distant
HARRISBURG SCHOOL DISTRICT 41-2,South Dakota,6222,4631350,31-Town: Fringe
HARRISBURG SD 7J,Oregon,863,4100019,42-Rural: Distant
HARRISON CENTRAL SCHOOL DISTRICT,New York,3812,3613740,21-Suburb: Large
HARRISON COMMUNITY SCHOOLS,Michigan,1184,2617820,41-Rural: Fringe
HARRISON COUNTY,Kentucky,2982,2102580,32-Town: Distant
HARRISON COUNTY SCHOOL DISTRICT,Mississippi,14253,2801770,41-Rural: Fringe
HARRISON COUNTY SCHOOLS,West Virginia,9358,5400510,32-Town: Distant
HARRISON HILLS CITY,Ohio,1319,3904524,42-Rural: Distant
HARRISON K-12 SCHOOLS,Montana,61,3013530,43-Rural: Remote
HARRISON PUBLIC SCHOOLS,New Jersey,2466,3406870,21-Suburb: Large
HARRISON SCHOOL DISTRICT,Arkansas,2739,0507380,33-Town: Remote
HARRISON SCHOOL DISTRICT NO. 2 IN THE COUNTY OF EL PASO AN,Colorado,11938,0804530,11-City: Large
HARRISON SD 36,Illinois,447,1718360,41-Rural: Fringe
HARRISON TOWNSHIP SCHOOL DISTRICT,New Jersey,1348,3406900,21-Suburb: Large
HARRISONBURG CITY PUBLIC SCHOOLS,Virginia,6652,5101860,13-City: Small
HARRISONVILLE R-IX,Missouri,2187,2913760,32-Town: Distant
HARRISVILLE CENTRAL SCHOOL DISTRICT,New York,312,3613770,42-Rural: Distant
HARRISVILLE SCHOOL DISTRICT,New Hampshire,47,3303630,42-Rural: Distant
HARROLD ISD,Texas,154,4822620,43-Rural: Remote
HART COUNTY,Kentucky,2322,2102640,42-Rural: Distant
HART COUNTY,Georgia,3743,1302730,32-Town: Distant
HART ISD,Texas,206,4822650,43-Rural: Remote
HART PUBLIC SCHOOL DISTRICT,Michigan,1192,2617860,43-Rural: Remote
HART ROP,California,0,0600111,21-Suburb: Large
HART'S LOCATION SCHOOL DISTRICT,New Hampshire,†,3303640,33-Town: Remote
