ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC

Agency Name,State Name [District] Latest available year,Total Students All Grades (Excludes AE) [District] 2024-25,Agency ID - NCES Assigned [District] Latest available year,Locale [District] 2024-25
ACE PREPARATORY ACADEMY,INDIANA,131,1800172,11-City: Large
ACES TECHNICAL CHARTER SCHOOL,NEW MEXICO,165,3500185,11-City: Large
ACHIEVE ACADEMY DISTRICT,CALIFORNIA,537,0602165,11-City: Large
ACHIEVE CHARTER ACADEMY,Michigan,771,2600963,41-Rural: Fringe
ACHIEVE CHARTER SCHOOL OF CHICO DISTRICT,CALIFORNIA,222,0602570,12-City: Mid-size
ACHIEVE CHARTER SCHOOL OF PARADISE INC. DISTRICT,CALIFORNIA,169,0602133,42-Rural: Distant
ACHIEVE LANGUAGE ACADEMY,Minnesota,451,2700118,11-City: Large
ACHIEVEMENT CHARTER ACADEMY,NORTH CAROLINA,211,3700459,41-Rural: Fringe
ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL,New York,758,3601028,11-City: Large
ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL,New York,935,3601109,11-City: Large
ACHIEVEMENT FIRST BRIDGEPORT ACADEMY DISTRICT,Connecticut,1090,0900208,12-City: Mid-size
ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,New York,651,3600969,11-City: Large
ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,New York,1320,3600147,11-City: Large
ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,New York,1072,3600149,11-City: Large
ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,New York,579,3600170,11-City: Large
ACHIEVEMENT FIRST HARTFORD ACADEMY DISTRICT,Connecticut,907,0900212,12-City: Mid-size
ACHIEVEMENT FIRST LEGACY CHARTER SCHOOL,NEW YORK,256,3601230,11-City: Large
ACHIEVEMENT FIRST LINDEN CHARTER SCHOOL,NEW YORK,630,3601112,11-City: Large
ACHIEVEMENT FIRST NORTH BROOKLYN PREPARATORY CHARTER SCHOOL,NEW YORK,843,3601124,11-City: Large
ACHIEVEMENT FIRST RHODE ISLAND,Rhode Island,3209,4400021,12-City: Mid-size
ACHIEVEMENT FIRST VOYAGER CHARTER SCHOOL,NEW YORK,96,3601143,11-City: Large
ACHIEVEMENT FIRST-BUSHWICK CHARTER SCHOOL,New York,899,3600166,11-City: Large
